"Time","dcpm.iA","dcpm.w"
0,0,0
9.9999997e-05,0,0
0.00019999999,0,0
0.00030000001,0,0
0.00039999999,0,0
0.00050000002,0,0
0.00060000003,0,0
0.00069999998,0,0
0.00079999998,0,0
0.00089999998,0,0
0.001,0,0
0.0011,0,0
0.0012000001,0,0
0.0013,0,0
0.0014,0,0
0.0015,0,0
0.0016,0,0
0.0017,0,0
0.0018,0,0
0.0019,0,0
0.0020000001,0,0
0.0020999999,0,0
0.0022,0,0
0.0023000001,0,0
0.0024000001,0,0
0.0024999999,0,0
0.0026,0,0
0.0027000001,0,0
0.0027999999,0,0
0.0029,0,0
0.003,0,0
0.0031000001,0,0
0.0031999999,0,0
0.0033,0,0
0.0034,0,0
0.0035000001,0,0
0.0035999999,0,0
0.0037,0,0
0.0038000001,0,0
0.0038999999,0,0
0.0040000002,0,0
0.0041,0,0
0.0041999999,0,0
0.0043000001,0,0
0.0044,0,0
0.0044999998,0,0
0.0046000001,0,0
0.0046999999,0,0
0.0048000002,0,0
0.0049000001,0,0
0.0049999999,0,0
0.0051000002,0,0
0.0052,0,0
0.0052999998,0,0
0.0054000001,0,0
0.0055,0,0
0.0055999998,0,0
0.0057000001,0,0
0.0057999999,0,0
0.0059000002,0,0
0.0060000001,0,0
0.0060999999,0,0
0.0062000002,0,0
0.0063,0,0
0.0063999998,0,0
0.0065000001,0,0
0.0066,0,0
0.0066999998,0,0
0.0068000001,0,0
0.0068999999,0,0
0.0070000002,0,0
0.0071,0,0
0.0071999999,0,0
0.0073000002,0,0
0.0074,0,0
0.0074999998,0,0
0.0076000001,0,0
0.0077,0,0
0.0077999998,0,0
0.0078999996,0,0
0.0080000004,0,0
0.0081000002,0,0
0.0082,0,0
0.0082999999,0,0
0.0083999997,0,0
0.0085000005,0,0
0.0086000003,0,0
0.0087000001,0,0
0.0088,0,0
0.0088999998,0,0
0.0089999996,0,0
0.0091000004,0,0
0.0092000002,0,0
0.0093,0,0
0.0093999999,0,0
0.0094999997,0,0
0.0096000005,0,0
0.0097000003,0,0
0.0098000001,0,0
0.0098999999,0,0
0.0099999998,0,0
0.0101,0,0
0.0102,0,0
0.0103,0,0
0.0104,0,0
0.0105,0,0
0.0106,0,0
0.0107,0,0
0.0108,0,0
0.0109,0,0
0.011,0,0
0.0111,0,0
0.0112,0,0
0.0113,0,0
0.0114,0,0
0.0115,0,0
0.0116,0,0
0.0117,0,0
0.0118,0,0
0.0119,0,0
0.012,0,0
0.0121,0,0
0.0122,0,0
0.0123,0,0
0.0124,0,0
0.0125,0,0
0.0126,0,0
0.0127,0,0
0.0128,0,0
0.0129,0,0
0.013,0,0
0.0131,0,0
0.0132,0,0
0.0133,0,0
0.0134,0,0
0.0135,0,0
0.0136,0,0
0.0137,0,0
0.0138,0,0
0.0139,0,0
0.014,0,0
0.0141,0,0
0.0142,0,0
0.0143,0,0
0.0144,0,0
0.0145,0,0
0.0146,0,0
0.0147,0,0
0.0148,0,0
0.0149,0,0
0.015,0,0
0.0151,0,0
0.0152,0,0
0.0153,0,0
0.0154,0,0
0.0155,0,0
0.0156,0,0
0.015699999,0,0
0.015799999,0,0
0.015900001,0,0
0.016000001,0,0
0.016100001,0,0
0.0162,0,0
0.0163,0,0
0.0164,0,0
0.0165,0,0
0.0166,0,0
0.0167,0,0
0.016799999,0,0
0.016899999,0,0
0.017000001,0,0
0.017100001,0,0
0.017200001,0,0
0.0173,0,0
0.0174,0,0
0.0175,0,0
0.0176,0,0
0.0177,0,0
0.0178,0,0
0.017899999,0,0
0.017999999,0,0
0.018100001,0,0
0.018200001,0,0
0.018300001,0,0
0.0184,0,0
0.0185,0,0
0.0186,0,0
0.0187,0,0
0.0188,0,0
0.0189,0,0
0.018999999,0,0
0.019099999,0,0
0.019200001,0,0
0.019300001,0,0
0.019400001,0,0
0.0195,0,0
0.0196,0,0
0.0197,0,0
0.0198,0,0
0.0199,0,0
0.02,0,0
0.020099999,0,0
0.020199999,0,0
0.020300001,0,0
0.020400001,0,0
0.020500001,0,0
0.0206,0,0
0.0207,0,0
0.0208,0,0
0.0209,0,0
0.021,0,0
0.0211,0,0
0.021199999,0,0
0.021299999,0,0
0.021400001,0,0
0.021500001,0,0
0.021600001,0,0
0.0217,0,0
0.0218,0,0
0.0219,0,0
0.022,0,0
0.0221,0,0
0.0222,0,0
0.022299999,0,0
0.022399999,0,0
0.022500001,0,0
0.022600001,0,0
0.022700001,0,0
0.0228,0,0
0.0229,0,0
0.023,0,0
0.0231,0,0
0.0232,0,0
0.0233,0,0
0.023399999,0,0
0.023499999,0,0
0.023600001,0,0
0.023700001,0,0
0.023800001,0,0
0.0239,0,0
0.024,0,0
0.0241,0,0
0.0242,0,0
0.0243,0,0
0.0244,0,0
0.024499999,0,0
0.024599999,0,0
0.024700001,0,0
0.024800001,0,0
0.024900001,0,0
0.025,0,0
0.0251,0,0
0.0252,0,0
0.0253,0,0
0.0254,0,0
0.0255,0,0
0.025599999,0,0
0.025699999,0,0
0.025800001,0,0
0.025900001,0,0
0.026000001,0,0
0.0261,0,0
0.0262,0,0
0.0263,0,0
0.0264,0,0
0.0265,0,0
0.0266,0,0
0.026699999,0,0
0.026799999,0,0
0.026900001,0,0
0.027000001,0,0
0.027100001,0,0
0.0272,0,0
0.0273,0,0
0.0274,0,0
0.0275,0,0
0.0276,0,0
0.0277,0,0
0.027799999,0,0
0.027899999,0,0
0.028000001,0,0
0.028100001,0,0
0.028200001,0,0
0.0283,0,0
0.0284,0,0
0.0285,0,0
0.0286,0,0
0.0287,0,0
0.0288,0,0
0.028899999,0,0
0.028999999,0,0
0.029100001,0,0
0.029200001,0,0
0.029300001,0,0
0.0294,0,0
0.0295,0,0
0.0296,0,0
0.0297,0,0
0.0298,0,0
0.029899999,0,0
0.029999999,0,0
0.030099999,0,0
0.030200001,0,0
0.030300001,0,0
0.030400001,0,0
0.0305,0,0
0.0306,0,0
0.0307,0,0
0.0308,0,0
0.0309,0,0
0.030999999,0,0
0.031099999,0,0
0.031199999,0,0
0.031300001,0,0
0.031399999,0,0
0.031500001,0,0
0.031599998,0,0
0.0317,0,0
0.031800002,0,0
0.0319,0,0
0.032000002,0,0
0.032099999,0,0
0.032200001,0,0
0.032299999,0,0
0.032400001,0,0
0.032499999,0,0
0.032600001,0,0
0.032699998,0,0
0.0328,0,0
0.032900002,0,0
0.033,0,0
0.033100002,0,0
0.033199999,0,0
0.033300001,0,0
0.033399999,0,0
0.033500001,0,0
0.033599999,0,0
0.0337,0,0
0.033799998,0,0
0.0339,0,0
0.034000002,0,0
0.0341,0,0
0.034200002,0,0
0.034299999,0,0
0.034400001,0,0
0.034499999,0,0
0.034600001,0,0
0.034699999,0,0
0.0348,0,0
0.034899998,0,0
0.035,0,0
0.035100002,0,0
0.0352,0,0
0.035300002,0,0
0.035399999,0,0
0.035500001,0,0
0.035599999,0,0
0.035700001,0,0
0.035799999,0,0
0.0359,0,0
0.035999998,0,0
0.0361,0,0
0.036200002,0,0
0.0363,0,0
0.036400001,0,0
0.036499999,0,0
0.036600001,0,0
0.036699999,0,0
0.036800001,0,0
0.036899999,0,0
0.037,0,0
0.037099998,0,0
