"Time","meanError_y","sigmaError_y","mean.y","variance.mu","variance.var","standardDeviation.variance.mu","standardDeviation.variance.var"
0,1.3380117,-1.7320508,4.3380117,4.3380117,0,4.3380117,0
0.001,1.3380117,-1.7320508,4.3380117,4.3380117,0,4.3380117,0
0.001,1.3380117,-1.7320508,4.3380117,4.3380117,0,4.3380117,0
0.0020000001,1.1908894,-1.5849284,4.1908894,4.1908894,0.021644998,4.1908894,0.021644998
0.0020000001,1.1908894,-1.5849284,4.1908894,4.1908894,0.021644998,4.1908894,0.021644998
0.003,1.3867601,-1.4301225,4.3867602,4.3867602,0.091160715,4.3867602,0.091160715
0.003,1.3867601,-1.4301225,4.3867602,4.3867602,0.091160715,4.3867602,0.091160715
0.0040000002,0.57648474,-0.30446222,3.5764847,3.5764847,2.0380092,3.5764847,2.0380092
0.0040000002,0.57648474,-0.30446222,3.5764847,3.5764847,2.0380092,3.5764847,2.0380092
0.0049999999,0.60010803,-0.45430297,3.6001081,3.6001081,1.6326395,3.6001081,1.6326395
0.0049999999,0.60010803,-0.45430297,3.6001081,3.6001081,1.6326395,3.6001081,1.6326395
0.0060000001,0.093830794,-0.10659205,3.0938308,3.0938308,2.6421161,3.0938308,2.6421161
0.0060000001,0.093830794,-0.10659205,3.0938308,3.0938308,2.6421161,3.0938308,2.6421161
0.0070000002,-0.074483991,-0.17171425,2.9255159,2.9255159,2.4346502,2.9255159,2.4346502
0.0070000002,-0.074483991,-0.17171425,2.9255159,2.9255159,2.4346502,2.9255159,2.4346502
0.0080000004,-0.38383475,-0.058669738,2.6161652,2.6161652,2.8002043,2.6161652,2.8002043
0.0080000004,-0.38383475,-0.058669738,2.6161652,2.6161652,2.8002043,2.6161652,2.8002043
0.0089999996,-0.40429434,-0.15331107,2.5957057,2.5957057,2.4924192,2.5957057,2.4924192
0.0089999996,-0.40429434,-0.15331107,2.5957057,2.5957057,2.4924192,2.5957057,2.4924192
0.0099999998,-0.1956003,-0.10873444,2.8043997,2.8043997,2.6351562,2.8043997,2.6351562
0.0099999998,-0.1956003,-0.10873444,2.8043997,2.8043997,2.6351562,2.8043997,2.6351562
0.011,-0.3854568,-0.071914889,2.6145432,2.6145432,2.7560513,2.6145432,2.7560513
0.011,-0.3854568,-0.071914889,2.6145432,2.6145432,2.7560513,2.6145432,2.7560513
0.012,-0.30152798,-0.11840127,2.698472,2.698472,2.6038649,2.698472,2.6038649
0.012,-0.30152798,-0.11840127,2.698472,2.698472,2.6038649,2.698472,2.6038649
0.013,-0.33996192,-0.17600018,2.660038,2.660038,2.4212935,2.660038,2.4212935
0.013,-0.33996192,-0.17600018,2.660038,2.660038,2.4212935,2.660038,2.4212935
0.014,-0.15400901,-0.089533135,2.8459909,2.8459909,2.6978643,2.8459909,2.6978643
0.014,-0.15400901,-0.089533135,2.8459909,2.8459909,2.6978643,2.8459909,2.6978643
0.015,-0.14878693,-0.14510769,2.851213,2.851213,2.5183885,2.851213,2.5183885
0.015,-0.14878693,-0.14510769,2.851213,2.851213,2.5183885,2.851213,2.5183885
0.016000001,-0.034200583,-0.1326948,2.9657993,2.9657993,2.5579398,2.9657993,2.5579398
0.016000001,-0.034200583,-0.1326948,2.9657993,2.9657993,2.5579398,2.9657993,2.5579398
0.017000001,-0.11493392,-0.14719795,2.885066,2.885066,2.5117586,2.885066,2.5117586
0.017000001,-0.11493392,-0.14719795,2.885066,2.885066,2.5117586,2.885066,2.5117586
0.017999999,0.013960202,-0.10274136,3.0139601,3.0139601,2.6546493,3.0139601,2.6546493
0.017999999,0.013960202,-0.10274136,3.0139601,3.0139601,2.6546493,3.0139601,2.6546493
0.018999999,0.11747482,-0.0865096,3.1174748,3.1174748,2.7078059,3.1174748,2.7078059
0.018999999,0.11747482,-0.0865096,3.1174748,3.1174748,2.7078059,3.1174748,2.7078059
0.02,0.10624233,-0.12742849,3.1062424,3.1062424,2.5748129,3.1062424,2.5748129
0.02,0.10624233,-0.12742849,3.1062424,3.1062424,2.5748129,3.1062424,2.5748129
0.021,0.08784838,-0.16394067,3.0878484,3.0878484,2.4589694,3.0878484,2.4589694
0.021,0.08784838,-0.16394067,3.0878484,3.0878484,2.4589694,3.0878484,2.4589694
0.022,0.20551263,-0.10787704,3.2055125,3.2055125,2.6379404,3.2055125,2.6379404
0.022,0.20551263,-0.10787704,3.2055125,3.2055125,2.6379404,3.2055125,2.6379404
0.023,0.15140188,-0.12342941,3.1514018,3.1514018,2.5876627,3.1514018,2.5876627
0.023,0.15140188,-0.12342941,3.1514018,3.1514018,2.5876627,3.1514018,2.5876627
0.024,0.17185608,-0.1542466,3.1718562,3.1718562,2.4894662,3.1718562,2.4894662
0.024,0.17185608,-0.1542466,3.1718562,3.1718562,2.4894662,3.1718562,2.4894662
0.025,0.16202885,-0.18537526,3.1620288,3.1620288,2.3922052,3.1620288,2.3922052
0.025,0.16202885,-0.18537526,3.1620288,3.1620288,2.3922052,3.1620288,2.3922052
0.026000001,0.11999255,-0.20091605,3.1199925,3.1199925,2.3443737,3.1199925,2.3443737
0.026000001,0.11999255,-0.20091605,3.1199925,3.1199925,2.3443737,3.1199925,2.3443737
0.027000001,0.11331214,-0.22915183,3.1133122,3.1133122,2.2587054,3.1133122,2.2587054
0.027000001,0.11331214,-0.22915183,3.1133122,3.1133122,2.2587054,3.1133122,2.2587054
0.028000001,0.20648077,-0.17885801,3.2064807,3.2064807,2.4124079,3.2064807,2.4124079
0.028000001,0.20648077,-0.17885801,3.2064807,3.2064807,2.4124079,3.2064807,2.4124079
0.028999999,0.15438454,-0.1811756,3.1543846,3.1543846,2.4052138,3.1543846,2.4052138
0.028999999,0.15438454,-0.1811756,3.1543846,3.1543846,2.4052138,3.1543846,2.4052138
0.029999999,0.17486733,-0.20325819,3.1748674,3.1748674,2.3372068,3.1748674,2.3372068
0.029999999,0.17486733,-0.20325819,3.1748674,3.1748674,2.3372068,3.1748674,2.3372068
0.030999999,0.10648617,-0.18218224,3.1064861,3.1064861,2.4020927,3.1064861,2.4020927
0.030999999,0.10648617,-0.18218224,3.1064861,3.1064861,2.4020927,3.1064861,2.4020927
0.032000002,0.11857677,-0.20510651,3.1185768,3.1185768,2.3315589,3.1185768,2.3315589
0.032000002,0.11857677,-0.20510651,3.1185768,3.1185768,2.3315589,3.1185768,2.3315589
0.033,0.19148453,-0.17288344,3.1914845,3.1914845,2.4310029,3.1914845,2.4310029
