"time","L.i","simpleTriac.thyristor.vControl","simpleTriac.thyristor1.vControl"
0,0,0,0
1.3829158990798402e-11,-1.000035700002703e-10,0,0
1.3829158990798402e-11,-1.000035700002703e-10,0,0
2.4999999999999999e-07,-4.7582533521017134e-06,0,0
4.9999999999999998e-07,-9.5157171584423943e-06,0,0
7.5000000000000002e-07,-1.4270833090807112e-05,0,0
9.9999999999999995e-07,-1.9022427967758598e-05,0,0
1.2499999999999999e-06,-2.3769329299022545e-05,0,0
1.5e-06,-2.8510365811462973e-05,0,0
1.75e-06,-3.3244368089386095e-05,0,0
1.9999999999999999e-06,-3.7970167604409698e-05,0,0
2.2500000000000001e-06,-4.2686598470390328e-05,0,0
2.4999999999999998e-06,-4.7392497098640025e-05,0,0
2.7499999999999999e-06,-5.2086702393205619e-05,0,0
3.0000000000000001e-06,-5.6768056038328067e-05,0,0
3.2499999999999998e-06,-6.1435402996880858e-05,0,0
3.4999999999999999e-06,-6.6087591764786471e-05,0,0
3.7499999999999997e-06,-7.0723474409700021e-05,0,0
3.9999999999999998e-06,-7.5341907091401987e-05,0,0
4.25e-06,-7.9941750436771859e-05,0,0
4.5000000000000001e-06,-8.4521869130225728e-05,0,0
4.7499999999999994e-06,-8.9081133344305049e-05,0,0
4.9999999999999996e-06,-9.3618418065678929e-05,0,0
5.2499999999999997e-06,-9.8132603923303336e-05,0,0
5.4999999999999999e-06,-0.00010262257703028789,0,0
5.75e-06,-0.00010708722955783812,0,0
6.0000000000000002e-06,-0.00011152545992886907,0,0
6.2499999999999995e-06,-0.00011593617305059566,0,0
6.4999999999999996e-06,-0.00012031828060403057,0,0
6.7499999999999997e-06,-0.00012467070152736166,0,0
6.9999999999999999e-06,-0.00012899236173307787,0,0
7.25e-06,-0.00013328219499673827,0,0
7.4999999999999993e-06,-0.00013753914295848088,0,0
7.7500000000000003e-06,-0.00014176215509771148,0,0
7.9999999999999996e-06,-0.00014595018960355022,0,0
8.2499999999999989e-06,-0.00015010221308850322,0,0
8.4999999999999999e-06,-0.00015421720101088952,0,0
8.7499999999999992e-06,-0.00015829413821215048,0,0
9.0000000000000002e-06,-0.00016233201870715692,0,0
9.2499999999999995e-06,-0.00016632984622370566,0,0
9.4999999999999988e-06,-0.00017028663432227362,0,0
9.7499999999999998e-06,-0.00017420140674379597,0,0
9.9999999999999991e-06,-0.00017807319759775435,0,0
1.025e-05,-0.00018190105152043914,0,0
1.0499999999999999e-05,-0.00018568402407615029,0,0
1.0749999999999999e-05,-0.00018942118191319469,0,0
1.1e-05,-0.00019311160287715319,0,0
1.1249999999999999e-05,-0.00019675437642986216,0,0
1.15e-05,-0.00020034860384382598,0,0
1.1749999999999999e-05,-0.00020389339823069855,0,0
1.2e-05,-0.00020738788492555396,0,0
1.225e-05,-0.00021083120180494228,0,0
1.2499999999999999e-05,-0.0002142224992513918,0,0
1.275e-05,-0.00021756094043008753,0,0
1.2999999999999999e-05,-0.00022084570172934166,0,0
1.325e-05,-0.00022407597268997255,0,0
1.3499999999999999e-05,-0.00022725095617819291,0,0
1.3749999999999999e-05,-0.00023036986893503394,0,0
1.4e-05,-0.00023343194145861892,0,0
1.4249999999999999e-05,-0.00023643641803781202,0,0
1.45e-05,-0.00023938255749529386,0,0
1.4749999999999999e-05,-0.00024226963297559163,0,0
1.4999999999999999e-05,-0.00024509693193174514,0,0
1.525e-05,-0.0002478637568899894,0,0
1.5500000000000001e-05,-0.00025056942525255725,0,0
1.575e-05,-0.00025321326925295437,0,0
1.5999999999999999e-05,-0.00025579463667964997,0,0
1.6249999999999999e-05,-0.00025831289072058856,0,0
1.6499999999999998e-05,-0.00026076740985810418,0,0
1.6750000000000001e-05,-0.00026315758851417438,0,0
1.7e-05,-0.00026548283705874354,0,0
1.7249999999999999e-05,-0.00026774258166180196,0,0
1.7499999999999998e-05,-0.00026993626471375767,0,0
1.7749999999999998e-05,-0.00027206334506589276,0,0
1.8e-05,-0.0002741232978559737,0,0
1.825e-05,-0.00027611561475067556,0,0
1.8499999999999999e-05,-0.00027803980431967179,0,0
1.8749999999999998e-05,-0.00027989539180280082,0,0
1.8999999999999998e-05,-0.00028168191917843062,0,0
1.925e-05,-0.00028339894581857334,0,0
1.95e-05,-0.00028504604810001611,0,0
1.9749999999999999e-05,-0.00028662281933470804,0,0
2.0000000000000002e-05,-0.00028812887060155435,0,0
2.0000000000000002e-05,-0.00028812887060155435,0,0
2.0249999999999998e-05,-0.00028781903392202754,0,0
2.05e-05,-0.0002874376108240776,0,0
2.075e-05,-0.00028698440562050328,0,0
2.0871963335269896e-05,-0.00028673715978715575,0,0
2.0871963335269896e-05,-0.00028673715978715575,0,0
2.0893373454512023e-05,-0.00028683073529350313,4.6293823808590109e-13,0
2.0893373454512023e-05,-0.00028683073529350313,4.6293823808590109e-13,0
2.095586835448937e-05,-0.00028710122335782573,1.500000000500056,0
2.0983439093213584e-05,-0.0062394596687351924,3.0559222154533705,0
2.0983439093213584e-05,-0.0062394596687351924,3.0559222154533705,0
2.1000000000000002e-05,-0.12019736589602717,3.5364541434807353,0
2.1000000000000002e-05,-0.12019736589602717,3.5364541434807353,0
2.1226581128809133e-05,-1.9097761425870172,4.283793027430832,0
2.1226581128809133e-05,-1.9097761425870172,4.283793027430832,0
2.1249999999999998e-05,-2.0140259202755639,4.3022205317828295,0
2.1499999999999997e-05,-2.6226294507550016,4.3910468477198679,0
2.175e-05,-2.8136158150800177,4.4672504109889006,0
2.1999999999999999e-05,-2.8823940506171293,4.5339179647420211,0
2.2249999999999999e-05,-2.9131264829786656,4.5922428321466153,0
2.2499999999999998e-05,-2.9307717211427748,4.6432690055436661,0
2.2749999999999997e-05,-2.9431098241864002,4.6879098335027498,0
2.3e-05,-2.9527517588733025,4.7269643694046719,0
2.3249999999999999e-05,-2.9606734715157192,4.7611316741847887,0
2.3499999999999999e-05,-2.9672937535883919,4.7910233292504785,0
2.3749999999999998e-05,-2.9728204106624343,4.8171743835498537,0
2.4000000000000001e-05,-2.9773702404638858,4.8400529307386702,0
2.425e-05,-2.9810151788238799,4.8600684878732352,0
2.4499999999999999e-05,-2.9838023806020675,4.8775793256060407,0
2.4749999999999999e-05,-2.9857641027739046,4.892898881092381,0
2.4999999999999998e-05,-2.9869231040673063,4.9063013683915351,0
2.525e-05,-2.9872958389189965,4.9180266867905358,0
2.55e-05,-2.9868944593827607,4.9282847149079378,0
2.5749999999999999e-05,-2.9857281247529586,4.937259067439502,0
2.6000000000000002e-05,-2.9838038869260086,4.9451103817894992,0
2.6000000000000002e-05,-2.9838038869260086,4.9451103817894992,0
2.6249999999999998e-05,-2.9811283890216949,4.9519791934129946,0
2.65e-05,-2.9777060667912045,4.9579884513644714,0
2.675e-05,-2.9735399425670392,4.9632457190078583,0
2.6829149957130142e-05,-2.97206642078394,4.9647689242045239,0
2.6829149957130142e-05,-2.97206642078394,4.9647689242045239,0
2.7000000000000002e-05,-2.9686324939563473,4.9678450993811945,0
2.7000000000000002e-05,-2.9686324939563473,4.9678450993811945,0
2.7249999999999998e-05,-2.9629857925558971,4.9718689195880454,0
2.7499999999999998e-05,-2.9566034062618436,4.9753892044562154,0
2.775e-05,-2.9494881998879441,4.9784689656974717,0
2.8e-05,-2.9416427686339404,4.9811633298252227,0
2.8249999999999999e-05,-2.9330696486260348,4.9835205249236223,0
2.8499999999999998e-05,-2.9237714025721591,4.9855827438590792,0
2.8749999999999997e-05,-2.9137506636398505,4.9873868995428436,0
2.9e-05,-2.9030101626885174,4.9889652856612159,0
2.9249999999999999e-05,-2.891552747207927,4.9903461546920633,0
2.9499999999999999e-05,-2.8793813950959368,4.9915542236668351,0
2.9749999999999998e-05,-2.8664992248978867,4.9926111165471339,0
2.9999999999999997e-05,-2.8529095033642045,4.9935357512979648,0
3.025e-05,-2.8386156510407758,4.9943446785318821,0
3.0499999999999999e-05,-2.8236212463059824,4.9950523777181495,0
3.0749999999999995e-05,-2.8079300282145021,4.9956715163878647,0
3.1000000000000001e-05,-2.7915458984524313,4.9962131768980083,0
3.1250000000000001e-05,-2.7744729225482136,4.9966870547458919,0
3.15e-05,-2.7567153305660592,4.9971016321810664,0
3.1749999999999999e-05,-2.7382775173281741,4.9974643299549486,0
3.1999999999999999e-05,-2.719164042309667,4.9977816402369504,0
3.2249999999999998e-05,-2.6993796292834129,4.9980592427383508,0
3.2499999999999997e-05,-2.6789291657020673,4.9983021064447062,0
3.2749999999999996e-05,-2.6578177019462945,4.9985145785184733,0
3.2999999999999996e-05,-2.6360504504168247,4.9987004621273261,0
3.3250000000000002e-05,-2.6136327844858567,4.9988630845219317,0
3.3500000000000001e-05,-2.5905702373928126,4.9990053565652595,0
3.375e-05,-2.5668685009944534,4.9991298248848111,0
3.4e-05,-2.5425334245129778,4.999238717402525,0
3.4249999999999999e-05,-2.517571013143137,4.9993339832618586,0
3.4499999999999998e-05,-2.4919874266590289,4.9994173276827549,0
3.4749999999999998e-05,-2.4657889779519797,4.9994902425024357,0
3.4999999999999997e-05,-2.4389821314746047,4.9995540328541859,0
3.5249999999999996e-05,-2.4115735017209801,4.9996098405736955,0
3.5499999999999996e-05,-2.3835698515767865,4.9996586645867538,0
3.5750000000000002e-05,-2.3549780907034603,4.9997013788302924,0
3.6000000000000001e-05,-2.3258052738105786,4.9997387478725415,0
